"Source:","C:\Users\felu1\OneDrive\Documentos\proyecto\1_Sistema_FINAL\SF-19-11\Diseños_Finales\1_Sistema_FINAL\SISTEMA_FINAL_esquematico_segmentado\SISTEMA_FINAL_esquematico_segmentado.kicad_sch"
"Date:","20/11/2022 14:26:59"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","206"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C2","30pF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"","","C3","30pF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"","","C4","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C5","0,1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C6","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C7","0,1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C8","0,1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C9","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C10","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C11","4700 uf","Device:C_Polarized","Capacitor_THT:C_Rect_L11.5mm_W4.3mm_P10.00mm_MKT","~"
"","","C12","0.33","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C13","10 uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C14","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C15","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C16","0.33","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C17","4700 uf","Device:C_Polarized","Capacitor_THT:C_Rect_L11.5mm_W2.8mm_P10.00mm_MKT","~"
"","","C18","0.1 uf","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C19","0.01 uf","Device:C_Polarized","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C20","4.7 uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C21","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C22","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C23","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C24","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C25","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C26","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C27","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C28","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C29","0,1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C30","0,1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C31","0,1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C32","C","pspice:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C33","C","pspice:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C34","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C35","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C36","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C37","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C38","0.1uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C39","C","pspice:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C40","C","pspice:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","C43","C","pspice:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"","","D1","B380R","Diode_Bridge:B380R","Diode_THT:Diode_Bridge_Round_D9.0mm","https://diotec.com/tl_files/diotec/files/pdf/datasheets/b40r.pdf"
"","","D2","LD271","LED:LD271","LED_THT:LED_D5.0mm","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D3","LD271","LED:LD271","LED_THT:LED_D5.0mm","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D4","LD271","LED:LD271","LED_THT:LED_D5.0mm","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D5","LD271","LED:LD271","LED_THT:LED_D5.0mm","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D6","LD271","LED:LD271","LED_THT:LED_D5.0mm","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D7","LD271","LED:LD271","LED_THT:LED_D5.0mm","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D8","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D9","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","F1","Fuse","Device:Fuse","Library_fusible:fusible_10mm","~"
"","","FL1","1FP41-4R","Filter:1FP41-4R","Filter:Filter_FILTERCON_1FPxx","https://filtercon.com.pl/wp-content/uploads/2019/07/Karta-katalogowa-FP-12-1.pdf"
"","","J1","N1,2,3","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J2","N1,2,3","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J3","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J4","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J5","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J6","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J7","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J8","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J9","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J10","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J11","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J12","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J13","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J14","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J15","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J16","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J17","4","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J18","4","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J19","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J20","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J21","3","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J22","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J23","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J24","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J25","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J26","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J27","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J28","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J29","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J30","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J31","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J32","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"","","J33","N1,2,3","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J34","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"","","J35","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"","","J36","1","Connector:Conn_01x01_Male","Connector_Pin:Pin_D1.0mm_L10.0mm","~"
"","","J37","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
